Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score
CLM000261,CUST002846,POL0090497,32,Male,South,Health,4548.45,84431.73,3878.17,Theft,536
CLM000264,CUST010521,POL0769195,25,Male,East,Health,2503.5,73930.68,14933.83,Property,840
CLM000268,CUST012885,POL0540997,45,Female,West,Auto,1004.87,66239.82,12730.83,Theft,582
CLM000269,CUST014944,POL0153684,38,Male,East,Life,4981.09,89744.93,48840.32,Property,409
CLM000277,CUST007993,POL0019638,62,Male,West,Health,4510.69,59342.61,20400.71,Medical,747
CLM000301,CUST011751,POL0798826,53,Male,West,Health,1175.24,61383.55,14382.0,Medical,646
CLM000304,CUST009284,POL0443465,33,Male,South,Auto,4906.06,98171.12,33135.19,Medical,525
CLM000307,CUST018652,POL0645580,71,Female,West,Auto,2349.83,67301.28,39856.4,Medical,652
CLM000310,CUST002851,POL0623078,66,Male,East,Life,4989.88,98191.0,7208.04,Medical,757
CLM000317,CUST014473,POL0488627,55,Male,East,Auto,982.42,75674.48,25292.21,Medical,555
CLM000319,CUST007813,POL0364914,53,Female,West,Auto,3028.09,71775.93,20831.72,Medical,363
CLM000320,CUST013560,POL0573326,18,Female,West,Life,3009.16,74815.79,7242.34,Theft,335
CLM000328,CUST006853,POL0809400,48,Male,South,Life,3197.99,17653.28,34462.37,Theft,617
CLM000336,CUST018001,POL0662071,63,Female,South,Auto,4023.6,24702.03,1448.2,Accident,813
CLM000341,CUST008158,POL0022161,31,Male,East,Auto,3657.25,31044.23,7951.85,Theft,369
CLM000344,CUST018155,POL0792448,76,Male,West,Home,467.14,66357.64,11108.95,Medical,414
CLM000348,CUST007757,POL0373545,68,Female,South,Life,4030.69,99356.29,3382.79,Accident,357
CLM000349,CUST006471,POL0051216,56,Male,West,Life,2899.83,58377.44,32002.6,Property,519
CLM000354,CUST001765,POL0201523,69,Female,West,Home,2351.14,45865.74,21369.9,Medical,669
CLM000355,CUST009411,POL0873840,41,Female,North,Life,2525.89,26297.43,23727.94,Accident,795
CLM000357,CUST019427,POL0457295,57,Female,West,Auto,3213.89,50033.93,37682.45,Property,321
CLM000371,CUST018840,POL0463989,22,Female,South,Health,3231.79,12798.62,42636.18,Theft,815
CLM000375,CUST019729,POL0350917,78,Male,West,Life,2982.55,41092.52,41257.46,Medical,561
CLM000382,CUST007254,POL0183895,42,Female,North,Life,3860.38,50466.23,913.5,Property,705
CLM000393,CUST019169,POL0699671,33,Female,East,Life,364.52,88130.8,24056.31,Accident,790
CLM000399,CUST015013,POL0665025,31,Male,East,Life,1444.17,91383.52,6022.42,Property,811
CLM000401,CUST019651,POL0507714,45,Female,North,Auto,1307.5,74602.07,37918.74,Accident,469
CLM000402,CUST006837,POL0594985,27,Male,North,Auto,2093.46,23987.94,37253.68,Medical,647
CLM000405,CUST006176,POL0827002,31,Female,North,Life,1952.44,8715.25,6927.94,Accident,533
CLM000406,CUST018328,POL0045545,69,Male,East,Home,398.52,31359.04,47443.23,Property,819
CLM000417,CUST001330,POL0695699,22,Female,West,Life,312.03,99716.94,847.27,Property,558
CLM000423,CUST018294,POL0463612,78,Female,West,Home,2289.19,96812.04,23056.59,Property,738
CLM000427,CUST006013,POL0584099,21,Male,East,Home,3146.61,31761.81,8679.62,Accident,648
CLM000441,CUST006643,POL0043842,32,Female,North,Health,2755.17,35496.14,40339.39,Medical,753
CLM000442,CUST019699,POL0661785,58,Female,South,Auto,3146.25,5646.22,23698.38,Property,768
CLM000443,CUST001718,POL0131329,65,Female,South,Life,4229.74,7393.57,16326.96,Accident,690
CLM000465,CUST011322,POL0027080,28,Male,West,Health,661.76,45323.55,29465.0,Theft,552
CLM000466,CUST009759,POL0822024,32,Female,East,Health,2407.36,7952.81,21780.1,Medical,559
CLM000470,CUST017860,POL0437403,38,Female,West,Life,4708.54,46582.67,45257.95,Property,659
CLM000473,CUST006751,POL0316737,45,Male,North,Auto,1030.61,12896.22,49631.72,Property,726
CLM000483,CUST009619,POL0170650,38,Female,West,Health,1895.39,27442.99,21807.22,Medical,563
CLM000485,CUST019119,POL0259559,29,Female,North,Auto,2088.58,55407.15,36543.36,Theft,840
CLM000492,CUST000158,POL0818698,26,Male,East,Home,3489.26,91290.18,28943.96,Property,316
CLM000499,CUST000149,POL0794179,26,Female,East,Home,1049.61,29998.98,20081.0,Accident,478
CLM000505,CUST015023,POL0846793,25,Female,East,Auto,4565.96,33866.31,29666.52,Property,619
CLM000514,CUST008745,POL0137742,30,Male,East,Home,1585.69,11086.69,26364.09,Property,529
CLM000518,CUST016701,POL0101405,47,Female,West,Home,980.38,89228.08,28050.9,Accident,490
CLM000522,CUST017500,POL0726085,75,Female,South,Health,4414.13,80402.88,33699.17,Accident,709
CLM000524,CUST007649,POL0779581,43,Female,West,Life,1127.89,33162.61,22743.56,Medical,817
CLM000525,CUST002105,POL0851850,67,Male,East,Life,1606.18,71255.61,42605.96,Property,405
CLM000527,CUST015429,POL0183298,39,Male,East,Health,2531.06,38922.05,27635.41,Property,394
CLM000534,CUST017606,POL0705038,42,Male,North,Home,3268.73,14132.64,42274.98,Theft,464
CLM000537,CUST007993,POL0859031,48,Female,West,Life,217.17,68594.59,10360.07,Theft,676
CLM000549,CUST018676,POL0032156,65,Male,West,Health,1559.74,7969.79,26821.68,Theft,495
CLM000563,CUST004164,POL0195189,73,Female,South,Home,2429.18,85611.38,28175.47,Medical,317
CLM000565,CUST009756,POL0459899,30,Male,East,Home,3136.89,61556.63,5346.45,Property,624
CLM000575,CUST010528,POL0607811,34,Male,East,Life,4277.54,22619.64,23671.87,Property,361
CLM000576,CUST005583,POL0002153,24,Male,South,Home,1488.74,64906.57,12049.9,Theft,728
CLM000578,CUST014306,POL0864777,34,Male,West,Health,4091.96,11970.96,17234.28,Theft,656
CLM000591,CUST019151,POL0675460,50,Male,East,Life,4894.99,58748.53,41072.38,Property,377
CLM000595,CUST005708,POL0864818,71,Male,South,Auto,725.68,43980.03,2268.19,Theft,584
CLM000597,CUST011314,POL0458027,53,Male,North,Health,1366.84,93923.13,19368.34,Medical,371
CLM000599,CUST005255,POL0716323,61,Female,West,Life,380.7,40778.17,28518.1,Property,541
CLM000603,CUST019348,POL0870339,38,Male,East,Life,2702.94,35314.02,39216.31,Theft,534
CLM000611,CUST005245,POL0028427,78,Female,East,Life,3115.86,18153.44,18432.57,Accident,637
CLM000612,CUST002048,POL0624730,21,Female,North,Home,3449.03,28639.16,38800.72,Property,617
CLM000616,CUST013390,POL0287377,42,Female,West,Health,2199.41,8068.22,9426.5,Medical,771
CLM000618,CUST018998,POL0328412,48,Male,South,Health,833.27,49845.96,28337.86,Property,820
CLM000619,CUST015312,POL0565399,48,Female,East,Health,3527.15,98117.78,13199.98,Accident,560
CLM000628,CUST003792,POL0079604,24,Female,South,Life,2049.61,23147.31,1212.35,Property,670
CLM000629,CUST011706,POL0562939,69,Female,East,Home,2705.73,10405.12,1767.45,Property,593
CLM000630,CUST009866,POL0755885,36,Female,North,Auto,3244.16,95477.12,553.85,Accident,565
CLM000631,CUST007392,POL0260331,51,Male,East,Life,3490.37,43145.73,1090.89,Medical,782
CLM000634,CUST015471,POL0278308,24,Male,West,Life,1357.73,65092.25,46059.84,Medical,798
CLM000638,CUST015593,POL0140984,21,Male,North,Auto,3740.41,58214.45,47021.9,Accident,400
CLM000640,CUST015712,POL0826476,24,Female,North,Health,1256.67,10187.87,11060.64,Medical,396
CLM000641,CUST000204,POL0744041,23,Female,South,Auto,3764.08,50271.09,7688.95,Medical,811
CLM000643,CUST010495,POL0377772,73,Male,South,Life,3058.62,18506.87,18391.43,Medical,650
CLM000650,CUST001901,POL0853874,64,Male,North,Auto,4765.57,33807.97,36268.19,Medical,436
CLM000656,CUST019345,POL0377427,59,Female,South,Auto,4264.65,41019.75,49949.87,Medical,325
CLM000665,CUST013577,POL0362981,41,Male,West,Auto,516.21,25385.85,10159.79,Accident,767
CLM000668,CUST017369,POL0231127,75,Female,West,Auto,4595.95,80865.66,13355.0,Property,607
CLM000670,CUST017328,POL0154352,39,Male,West,Life,3686.4,42210.41,10827.76,Property,465
CLM000675,CUST006751,POL0040252,32,Female,South,Life,2576.86,10339.24,41290.08,Theft,822
CLM000686,CUST013048,POL0281417,30,Female,East,Health,4229.56,62330.26,31729.58,Theft,305
CLM000690,CUST015689,POL0584949,59,Male,North,Auto,2699.97,81860.53,28839.01,Accident,467
CLM000693,CUST013161,POL0318201,36,Female,West,Auto,1951.98,62227.88,10952.71,Property,781
CLM000697,CUST002850,POL0588798,56,Female,North,Home,1787.62,95216.62,38855.34,Medical,764
CLM000700,CUST007825,POL0595231,75,Female,East,Health,535.75,76940.7,30325.19,Theft,493
CLM000707,CUST006736,POL0559551,55,Female,East,Auto,4596.12,83205.06,10576.64,Property,539
CLM000711,CUST015583,POL0779142,33,Female,East,Health,1239.54,79123.25,5704.59,Theft,591
CLM000717,CUST006829,POL0435411,22,Female,North,Auto,4347.59,98184.95,19146.21,Medical,649
CLM000724,CUST018996,POL0837747,38,Female,North,Health,1258.73,25055.1,19516.27,Accident,739
CLM000731,CUST019619,POL0539700,57,Female,West,Health,3242.79,16667.87,12731.49,Property,648
CLM000734,CUST011646,POL0489927,72,Male,North,Home,3444.4,46872.43,47391.07,Theft,734
CLM000735,CUST004388,POL0813501,33,Female,East,Auto,2573.47,33980.89,14075.61,Theft,629
CLM000736,CUST015229,POL0409775,35,Female,North,Life,3395.69,15014.1,30303.29,Theft,710
CLM000750,CUST009505,POL0212593,30,Female,East,Life,1730.43,14393.94,45457.95,Theft,672
CLM000752,CUST006984,POL0322452,46,Male,North,Auto,1151.98,43037.15,15648.2,Accident,373
CLM000755,CUST011584,POL0356735,31,Male,West,Auto,367.67,58937.71,38274.67,Property,497
CLM000756,CUST016484,POL0577297,46,Female,West,Auto,2024.67,56925.8,2336.93,Property,528
CLM000758,CUST000265,POL0803004,22,Female,West,Life,4066.97,43535.56,32053.96,Property,711
CLM000766,CUST019091,POL0125861,49,Male,South,Health,4663.2,25859.79,46603.31,Property,604
CLM000767,CUST008821,POL0271424,79,Male,East,Home,4509.24,20758.3,21417.43,Property,635
CLM000770,CUST015220,POL0862087,48,Male,South,Life,2491.94,37178.38,2498.7,Property,496
CLM000785,CUST019397,POL0845861,79,Female,East,Auto,4810.71,32777.23,29325.03,Property,757
CLM000793,CUST011946,POL0651242,44,Male,South,Home,4838.46,69634.01,12007.9,Property,806
CLM000801,CUST006197,POL0855677,57,Female,North,Auto,3309.12,18685.91,5494.92,Property,690
CLM000811,CUST019348,POL0835386,37,Male,East,Health,1480.94,67207.91,41049.67,Medical,369
CLM000815,CUST018933,POL0128075,40,Male,East,Health,4300.72,81019.51,16583.57,Accident,458
CLM000825,CUST001916,POL0368703,33,Male,West,Life,3966.44,50612.84,557.82,Property,403
CLM000826,CUST014432,POL0186067,38,Female,East,Health,673.77,36688.19,15307.53,Accident,570
CLM000833,CUST008393,POL0604214,59,Male,North,Auto,1748.9,97090.88,34100.13,Theft,576
CLM000836,CUST015973,POL0284021,63,Female,West,Home,4834.74,92658.01,48397.95,Property,327
CLM000844,CUST016370,POL0575747,19,Female,East,Auto,1288.27,39417.65,48913.52,Accident,846
CLM000854,CUST004368,POL0833767,18,Male,South,Health,2098.96,81798.22,4633.64,Theft,825
CLM000857,CUST002084,POL0594832,52,Male,North,Auto,4705.25,34385.25,42857.01,Medical,596
CLM000859,CUST012070,POL0649238,68,Female,West,Life,460.72,78407.29,5551.98,Accident,632
CLM000870,CUST000935,POL0214407,49,Male,West,Auto,4918.24,53469.29,20176.34,Medical,436
CLM000873,CUST014431,POL0401521,76,Male,North,Life,1307.93,48317.91,43380.87,Property,618
CLM000875,CUST007433,POL0075901,39,Female,East,Health,1855.86,38258.19,32327.85,Accident,601
CLM000879,CUST012860,POL0517759,66,Male,West,Auto,738.4,18248.74,13774.84,Theft,466
CLM000881,CUST000735,POL0728405,69,Male,South,Health,3817.42,18927.28,29304.15,Accident,482
CLM000885,CUST010879,POL0688378,60,Female,West,Auto,1106.26,99063.66,29089.15,Theft,562
CLM000889,CUST017057,POL0346522,59,Male,West,Health,4134.62,8308.43,3090.17,Property,609
CLM000891,CUST000677,POL0191880,76,Female,South,Life,4953.07,79742.93,30249.09,Accident,518
CLM000893,CUST007067,POL0058943,38,Female,North,Auto,1634.88,20803.94,16854.03,Theft,715
CLM000898,CUST009768,POL0844834,47,Female,East,Home,3925.25,47512.43,37323.77,Accident,695
CLM000903,CUST000584,POL0359978,45,Male,East,Health,2359.26,95316.45,17447.26,Accident,395
CLM000906,CUST001430,POL0160316,42,Male,West,Home,656.16,95149.26,49299.3,Property,446
CLM000912,CUST000033,POL0154239,79,Male,East,Auto,1435.09,20372.8,42242.36,Medical,547
CLM000914,CUST003691,POL0152642,74,Female,South,Health,790.57,59368.54,8043.31,Theft,716
CLM000917,CUST002228,POL0799809,45,Female,North,Auto,479.18,96059.07,40598.76,Medical,332
CLM000922,CUST006892,POL0723415,73,Male,South,Health,4353.85,59660.05,3740.49,Theft,753
CLM000923,CUST016412,POL0421580,35,Male,West,Home,882.62,53823.96,44961.65,Medical,385
CLM000932,CUST015080,POL0259396,65,Male,West,Auto,2340.09,47438.49,11898.71,Medical,475
CLM000933,CUST013839,POL0605925,47,Female,South,Home,4263.23,67948.16,9237.15,Medical,669
CLM000950,CUST015980,POL0226136,57,Male,South,Auto,981.44,89701.22,39355.3,Medical,660
CLM000951,CUST005823,POL0289706,47,Male,East,Home,4723.83,82367.0,24783.01,Theft,827
CLM000956,CUST011022,POL0829547,59,Female,East,Home,628.51,59298.04,48306.8,Medical,371
CLM000963,CUST009414,POL0393387,22,Male,North,Home,4300.63,63632.5,46888.94,Property,726
CLM000967,CUST009382,POL0281274,38,Male,South,Auto,1244.05,77850.1,47925.78,Accident,762
CLM000970,CUST006465,POL0506087,30,Female,West,Home,2736.31,53335.73,10281.59,Theft,832
CLM000974,CUST012876,POL0876723,32,Male,West,Health,4016.99,30757.54,49881.78,Accident,422
CLM000985,CUST007414,POL0760496,32,Male,South,Home,3781.04,37766.77,33069.15,Theft,572
CLM000990,CUST006770,POL0284603,64,Female,North,Auto,3435.83,12767.46,10214.3,Medical,573
CLM000992,CUST004015,POL0270937,22,Female,West,Home,2615.6,55190.11,23944.68,Property,827
CLM000999,CUST006256,POL0023303,64,Female,East,Home,1893.59,81794.33,20960.84,Medical,778
CLM001004,CUST016383,POL0234590,37,Female,East,Auto,4123.08,55667.17,47136.77,Medical,523
CLM001011,CUST011109,POL0481775,61,Female,North,Health,1456.36,76887.74,49659.84,Accident,386
CLM001013,CUST008162,POL0385105,48,Male,West,Home,4945.79,79543.9,34780.2,Theft,457
CLM001020,CUST015983,POL0023556,64,Female,East,Life,2649.06,73473.41,24665.21,Property,691
CLM001026,CUST003163,POL0428596,41,Female,South,Life,3939.83,51882.29,5078.94,Medical,402
CLM001029,CUST014579,POL0514719,25,Male,South,Health,4419.21,23811.38,24804.0,Accident,374
CLM001030,CUST017180,POL0282803,68,Male,North,Health,568.41,61561.52,8535.17,Accident,410
CLM001033,CUST012515,POL0288988,46,Female,West,Health,1889.63,5438.43,42892.59,Medical,751
CLM001042,CUST009831,POL0687694,19,Female,East,Health,2349.83,75324.24,26329.05,Theft,819
CLM001051,CUST011420,POL0569562,52,Female,West,Health,368.91,23969.14,18756.71,Property,392
CLM001058,CUST015864,POL0099829,77,Male,South,Auto,588.37,25127.56,6720.09,Property,387
CLM001063,CUST012828,POL0150214,55,Male,East,Auto,3928.11,79190.91,9424.76,Accident,827
CLM001064,CUST001848,POL0829937,63,Male,West,Auto,3356.91,85118.15,13582.66,Property,468
CLM001067,CUST006624,POL0363703,36,Male,East,Health,3612.99,99213.19,23392.61,Medical,326
CLM001069,CUST004638,POL0894115,53,Male,West,Life,2251.52,30502.53,2602.76,Theft,682
CLM001076,CUST012106,POL0482030,57,Female,East,Auto,300.7,90683.53,39251.33,Medical,538
CLM001083,CUST015447,POL0753004,25,Male,West,Auto,3667.6,62016.95,2339.22,Property,529
CLM001086,CUST011164,POL0420508,72,Female,West,Auto,4996.84,75202.2,2907.39,Medical,358
CLM001087,CUST000573,POL0417923,21,Male,South,Home,4833.8,35447.92,43568.77,Accident,703
CLM001092,CUST001472,POL0479085,41,Female,South,Life,3344.53,48606.44,17622.06,Medical,542
CLM001100,CUST001678,POL0496722,54,Male,East,Home,1631.65,88466.21,10915.14,Accident,538
CLM001120,CUST015029,POL0268928,64,Male,West,Home,4278.93,19850.8,29255.4,Theft,739
CLM001128,CUST002132,POL0231373,53,Male,West,Auto,470.26,58576.29,9880.37,Theft,763
CLM001134,CUST010409,POL0842533,40,Female,North,Home,4305.38,20776.66,40327.59,Theft,488
CLM001135,CUST006525,POL0569868,36,Male,South,Auto,2128.06,97304.93,15053.1,Medical,609
CLM001137,CUST006873,POL0734776,30,Male,West,Home,2691.19,43726.32,19140.96,Theft,405
CLM001145,CUST008650,POL0563604,52,Female,East,Home,3049.04,49186.46,29845.66,Theft,445
CLM001150,CUST015795,POL0516086,18,Female,West,Health,430.67,62249.63,16281.26,Medical,421
CLM001153,CUST012233,POL0168207,39,Female,North,Health,2484.25,66082.52,10599.38,Property,660
CLM001158,CUST017499,POL0535300,74,Male,North,Auto,4511.59,67957.11,38831.13,Medical,478
CLM001159,CUST015229,POL0196748,39,Male,West,Auto,1222.61,14562.57,44627.9,Property,416
CLM001161,CUST003792,POL0372608,23,Male,East,Home,4672.1,62945.94,39831.37,Theft,735
CLM001162,CUST017782,POL0385875,45,Male,East,Auto,3087.88,54624.21,44796.78,Medical,773
CLM001177,CUST002058,POL0560952,19,Male,South,Health,2474.89,46544.87,19060.35,Property,352
CLM001178,CUST001487,POL0202068,74,Male,South,Life,1749.77,94511.72,19049.41,Medical,573
CLM001181,CUST013511,POL0317606,38,Male,South,Auto,2899.54,41228.58,26780.6,Property,542
CLM001191,CUST008415,POL0631579,24,Female,West,Life,2384.33,10848.1,4978.7,Medical,844
CLM001196,CUST009382,POL0444355,56,Female,East,Life,3817.0,36478.88,18874.08,Medical,833
CLM001200,CUST000042,POL0181878,62,Female,North,Auto,3079.21,21677.91,19271.64,Accident,742
CLM001211,CUST010402,POL0414490,47,Female,East,Auto,1349.46,49772.85,39616.93,Property,814
CLM001213,CUST017786,POL0249799,58,Female,North,Life,984.14,56096.04,39503.03,Accident,738
CLM001214,CUST012208,POL0246593,37,Male,North,Home,3867.56,65522.72,23945.7,Medical,523
CLM001215,CUST000347,POL0728812,52,Male,South,Auto,1286.77,41384.35,2119.13,Medical,332
CLM001217,CUST017003,POL0299637,59,Male,West,Auto,426.64,60904.2,37411.61,Accident,387
CLM001219,CUST004986,POL0289520,41,Male,East,Health,4657.41,22304.3,25648.18,Accident,410
CLM001220,CUST016436,POL0370854,36,Male,East,Health,4112.66,73386.6,39371.78,Property,575
CLM001224,CUST004838,POL0775214,25,Male,South,Auto,2711.14,73146.64,10614.81,Property,801
CLM001238,CUST019005,POL0155491,38,Male,West,Auto,552.26,83492.63,41465.75,Accident,824
CLM001240,CUST004286,POL0678115,35,Male,West,Auto,2511.82,80939.42,35657.98,Medical,610
CLM001251,CUST007277,POL0086907,28,Female,West,Health,3233.17,27890.71,33784.28,Accident,596
CLM001255,CUST007672,POL0531536,65,Male,South,Auto,4098.81,7270.46,42608.25,Theft,787
CLM001256,CUST002884,POL0326390,20,Male,East,Home,3517.36,90002.05,36686.61,Theft,723
CLM001262,CUST016913,POL0087359,69,Female,South,Health,759.05,48267.76,25719.19,Theft,371
CLM001274,CUST009245,POL0685205,45,Male,South,Health,1500.59,81766.28,21678.42,Medical,799
CLM001282,CUST013430,POL0663797,45,Female,North,Health,843.18,45093.51,39898.4,Medical,804
CLM001285,CUST017291,POL0674553,36,Female,West,Health,4173.16,31419.72,11088.97,Medical,351
CLM001287,CUST011249,POL0823859,58,Male,North,Life,4956.51,88871.42,32625.54,Theft,388
CLM001293,CUST018953,POL0749192,18,Female,West,Life,4834.54,75764.49,15329.33,Property,828
CLM001304,CUST003975,POL0485416,18,Male,West,Health,4272.78,21375.5,34025.11,Accident,362
CLM001307,CUST015064,POL0628514,74,Male,South,Life,1750.4,39139.58,17237.08,Accident,442
CLM001309,CUST007712,POL0611435,73,Female,North,Auto,4327.36,75525.41,2133.77,Property,615
CLM001314,CUST012134,POL0567093,74,Male,West,Life,3967.81,82853.67,21226.56,Accident,768
CLM001318,CUST019910,POL0043066,44,Female,South,Health,2052.77,52746.26,32766.42,Property,547
CLM001320,CUST016521,POL0277771,20,Female,South,Health,4624.48,46331.99,5213.4,Property,671
CLM001328,CUST016017,POL0542840,27,Male,North,Health,1708.2,5854.61,23884.44,Property,799
CLM001338,CUST011468,POL0191753,39,Female,South,Auto,2883.34,92625.96,17916.6,Medical,799
CLM001343,CUST016755,POL0404946,32,Male,West,Home,3474.93,81107.23,19051.21,Accident,699
CLM001344,CUST015999,POL0443616,71,Female,North,Home,676.68,51190.44,32351.35,Accident,727
CLM001345,CUST008018,POL0520641,20,Female,North,Health,1726.81,15708.58,34595.09,Medical,507
CLM001357,CUST000931,POL0398296,20,Female,North,Life,1221.94,34256.11,35746.1,Property,441
CLM001366,CUST000094,POL0477861,52,Male,East,Home,3069.99,6514.53,42589.86,Theft,494
CLM001367,CUST003846,POL0417139,40,Female,North,Home,1124.95,13248.2,48018.7,Property,342
CLM001370,CUST014825,POL0337102,36,Male,West,Health,4385.71,38581.6,20844.25,Medical,654
CLM001375,CUST006030,POL0576996,71,Male,West,Auto,3372.47,77668.13,41422.98,Property,618
CLM001389,CUST013927,POL0247368,34,Female,North,Auto,3666.25,28228.95,13844.61,Accident,605
CLM001390,CUST012762,POL0413929,75,Female,North,Health,4437.84,71642.58,3616.51,Medical,440
CLM001400,CUST018333,POL0338865,33,Male,West,Home,1910.94,36317.93,20392.28,Accident,800
