Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount,Claim_Coverage_Ratio,Claim_Premium_Ratio,Coverage_Premium_Ratio,Remaining_Coverage,Young_Customer,Senior_Customer,Low_Credit_Score,High_Claim,Fraud_Probability,Fraud_Prediction,Recommended_Action,Potential_Financial_Loss
CLM029611,CUST016194,POL0745084,51,Male,East,Home,697.16,81354.06,21282.81,Accident,662,51.166534,No,Approved,13492.01,0.2616072264862995,30.52787021630616,116.6935280279993,60071.25,0,0,0,0,0.51166534,Fraudulent,REVIEW,10889.676305007935
CLM010031,CUST014288,POL0505878,30,Male,South,Home,1038.42,91691.8,5061.04,Accident,703,36.383503,No,Approved,4424.51,0.055196211656876625,4.873789025635099,88.29933938098264,86630.76000000001,0,0,0,0,0.36383504,Genuine,REVIEW,1841.3836744165421
CLM002521,CUST011998,POL0793419,37,Female,North,Auto,4180.93,99469.47,42593.39,Theft,331,45.042534,No,Approved,27993.28,0.4282056594852672,10.187539614392012,23.7912306592074,56876.08,0,0,1,0,0.45042533,Genuine,REVIEW,19185.14161130011
CLM030161,CUST002902,POL0554583,19,Female,South,Home,3522.2,48699.83,16561.39,Accident,522,57.274323,No,Rejected,9073.77,0.3400707969617142,4.702001589915394,13.826537391403102,32138.440000000002,1,0,1,0,0.57274324,Fraudulent,REVIEW,9485.424118127226
CLM004937,CUST008322,POL0819872,69,Female,South,Health,4239.51,50417.42,42664.45,Property,386,38.507565,No,Approved,39352.79,0.8462243803828121,10.063533285686317,11.892275286530754,7752.970000000001,0,1,1,0,0.38507566,Genuine,REVIEW,16429.041180841625
CLM039748,CUST010927,POL0157297,78,Male,North,Auto,3346.04,29251.44,6466.91,Theft,391,58.98851,No,Approved,3761.83,0.22108005622971041,1.9327055265328568,8.742107087781378,22784.53,0,1,1,0,0.5898851,Fraudulent,REVIEW,3814.7339530766008
CLM000772,CUST002713,POL0572000,30,Male,South,Home,665.8,64392.14,48232.93,Accident,538,62.77964,Yes,Under Review,46900.38,0.7490499616878706,72.44357164313608,96.71393811955542,16159.21,0,0,1,0,0.6277964,Fraudulent,REVIEW,30280.46037081957
CLM031922,CUST002205,POL0195266,49,Female,East,Home,4650.58,39923.72,9002.14,Accident,555,58.05819,No,Approved,7513.66,0.22548349702883397,1.9357026435412357,8.584675459835118,30921.58,0,0,1,0,0.5805819,Fraudulent,REVIEW,5226.479576392174
CLM037723,CUST015929,POL0708649,66,Male,South,Auto,1565.2,15288.21,33991.1,Medical,392,44.113308,No,Approved,26114.74,2.2233538131671398,21.71677740863787,9.767576028622539,-18702.89,0,1,1,0,0.44113308,Genuine,REVIEW,14994.598700612783
CLM035588,CUST018197,POL0773784,62,Female,West,Health,4748.67,28865.63,10635.52,Property,843,35.083153,No,Approved,9631.7,0.3684492595519308,2.239683953612275,6.07867676633668,18230.11,0,1,0,0,0.35083154,Genuine,REVIEW,3731.275843696594
CLM017974,CUST003426,POL0399889,74,Female,South,Home,4582.58,71705.56,37722.7,Theft,636,47.783863,No,Approved,27178.46,0.526077754639947,8.23176027477971,15.647421321613589,33982.86,0,1,0,0,0.47783864,Genuine,REVIEW,18025.36349328756
CLM028746,CUST014533,POL0694379,79,Female,South,Home,3511.84,96384.92,31801.47,Medical,510,31.287796,No,Approved,29352.52,0.32994238102806955,9.05550082008292,27.445703676705087,64583.45,0,1,1,0,0.31287795,Genuine,REVIEW,9949.978837661147
CLM044591,CUST016607,POL0800281,41,Female,West,Life,1863.25,74657.94,37130.41,Medical,668,47.893833,No,Approved,31231.9,0.497340403445367,19.92776600026835,40.06866496712733,37527.53,0,0,0,0,0.47893834,Genuine,REVIEW,17783.176971275807
CLM005594,CUST008517,POL0268202,45,Male,West,Life,4975.08,75793.6,46856.65,Theft,590,49.89112,No,Rejected,34313.12,0.6182138069705093,9.418270660974295,15.23464949307348,28936.950000000004,0,0,1,0,0.4989112,Fraudulent,REVIEW,23377.307571032645
CLM003575,CUST011672,POL0351233,61,Female,North,Health,2322.71,57136.37,4545.49,Medical,614,44.549915,No,Rejected,2582.2,0.07955510649346466,1.9569769794765597,24.59901149949843,52590.880000000005,0,1,0,0,0.44549915,Genuine,REVIEW,2025.0119401749967
CLM006279,CUST014232,POL0442660,71,Female,West,Home,3996.77,29068.29,15812.9,Theft,437,54.206474,No,Approved,12307.69,0.543991407819311,3.956419808995764,7.272945403413257,13255.390000000001,0,1,1,0,0.5420647,Fraudulent,REVIEW,8571.615311342477
CLM038021,CUST015837,POL0565781,33,Female,North,Health,903.49,16240.52,25263.18,Property,799,47.756786,Yes,Under Review,14830.83,1.5555647232970373,27.96177046785244,17.97531793379008,-9022.66,0,0,0,0,0.47756788,Genuine,REVIEW,12064.883348656296
CLM008664,CUST015196,POL0516860,53,Male,South,Health,3691.09,35228.02,40434.02,Theft,389,47.377613,Yes,Under Review,24499.15,1.1477800909616833,10.954493117209278,9.54406963796602,-5206.0,0,0,1,0,0.47377613,Genuine,REVIEW,19156.673591488
CLM005532,CUST015454,POL0606340,26,Male,East,Home,1126.97,91898.76,22982.34,Accident,807,54.847157,Yes,Under Review,19868.28,0.2500832437782621,20.393036194397364,81.54499232455167,68916.42,1,0,0,0,0.54847157,Fraudulent,REVIEW,12605.160102417469
CLM036720,CUST006160,POL0230575,66,Female,South,Life,3743.48,23899.11,19154.33,Theft,341,41.493378,No,Approved,10668.96,0.8014662470694516,5.116717599666621,6.384195988759123,4744.779999999999,0,1,1,0,0.41493377,Genuine,REVIEW,7947.778375867308
CLM016901,CUST014681,POL0734391,73,Female,North,Health,2813.1,15041.69,15344.24,Medical,818,34.400475,No,Approved,11245.3,1.0201140962219006,5.454566137001884,5.347015747751591,-302.5499999999993,0,1,0,0,0.34400475,Genuine,REVIEW,5278.49144900322
CLM047451,CUST014965,POL0728189,63,Female,North,Auto,3742.55,18235.3,2948.48,Theft,328,59.408337,Yes,Under Review,2085.52,0.16169078655135918,0.787826481944129,4.872426554087453,15286.82,0,1,1,0,0.59408337,Fraudulent,REVIEW,1751.642931175232
CLM020435,CUST019622,POL0347856,34,Male,West,Life,389.0,6079.91,23094.0,Medical,652,26.533886,No,Approved,18382.89,3.7984114896437613,59.36760925449872,15.629588688946015,-17014.09,0,0,0,0,0.26533887,Genuine,APPROVE,6127.735815346241
CLM016033,CUST002306,POL0557763,59,Male,South,Life,1388.67,39408.7,19536.11,Theft,699,50.28641,No,Approved,10275.39,0.4957308919096545,14.0682163508969,28.378736488870643,19872.589999999997,0,0,0,0,0.5028641,Fraudulent,REVIEW,9824.008810079098
CLM023880,CUST002786,POL0637292,61,Female,East,Home,2376.9,69231.21,34208.5,Property,541,50.5776,Yes,Under Review,32349.24,0.49411963188278807,14.392065295132314,29.126681812444783,35022.71000000001,0,1,1,0,0.505776,Fraudulent,REVIEW,17301.837888985872
CLM031871,CUST007089,POL0152570,27,Female,East,Health,3874.65,50558.53,40119.69,Property,544,40.491337,No,Rejected,34426.93,0.79352959826957,10.354403623553095,13.048541158556256,10438.839999999997,1,0,1,0,0.40491337,Genuine,REVIEW,16244.998714393974
CLM021049,CUST011593,POL0287057,36,Male,South,Auto,3756.11,94051.46,42502.46,Accident,702,47.395374,No,Approved,24363.41,0.4519064350516196,11.315552526416957,25.03959149226194,51549.00000000001,0,0,0,0,0.47395375,Genuine,REVIEW,20144.200458900334
CLM031604,CUST019146,POL0389602,75,Male,North,Health,335.14,48084.66,26505.89,Accident,493,43.83865,No,Approved,25236.95,0.5512338030465432,79.08900757892225,143.47633824670288,21578.770000000004,0,1,1,0,0.4383865,Genuine,REVIEW,11619.824343350529
CLM008268,CUST009225,POL0815078,48,Male,South,Life,451.52,94276.67,38975.93,Medical,453,44.692657,No,Approved,26749.59,0.41342073282817476,86.32160258681786,208.79843639262936,55300.74,0,0,1,0,0.44692656,Genuine,REVIEW,17419.37847275466
CLM009202,CUST014570,POL0182257,59,Male,East,Life,2518.93,95897.09,11445.64,Theft,515,48.59423,No,Rejected,8897.65,0.11935336098311221,4.543849968041986,38.070565676696056,84451.45,0,0,1,0,0.4859423,Genuine,REVIEW,5561.920673892498
CLM034834,CUST002832,POL0481542,59,Male,North,Home,4122.37,64007.38,17539.52,Medical,522,47.075047,No,Approved,12569.42,0.2740234016764942,4.254717553252134,15.52684014292749,46467.86,0,0,1,0,0.47075048,Genuine,REVIEW,8256.73747458458
CLM040198,CUST017035,POL0875504,45,Male,South,Life,1419.1,15986.6,2277.61,Medical,588,46.58548,No,Approved,1173.68,0.14246994357774637,1.6049679374251289,11.265308998661125,13708.99,0,0,1,0,0.4658548,Genuine,REVIEW,1061.035536877215
CLM002216,CUST019133,POL0123734,29,Male,South,Health,2634.74,67742.04,37601.55,Accident,343,49.406487,No,Approved,26461.75,0.5550696436068356,14.271446138897957,25.71109103744582,30140.48999999999,1,0,1,0,0.49406487,Genuine,REVIEW,18577.604818412663
CLM026322,CUST010627,POL0367733,28,Male,North,Home,2661.18,49594.01,6138.85,Medical,790,46.716156,No,Approved,3215.78,0.1237820857801174,2.306815021907575,18.636097520648736,43455.16,1,0,0,0,0.46716157,Genuine,REVIEW,2867.834779556096
CLM014433,CUST006508,POL0693906,38,Female,East,Life,3353.88,70528.36,12404.57,Medical,336,46.027805,No,Approved,8169.28,0.17588059611764686,3.698572996052333,21.02888594702255,58123.79,0,0,1,0,0.46027806,Genuine,REVIEW,5709.551464507877
CLM049174,CUST014516,POL0169212,44,Male,North,Home,820.97,30529.22,29528.96,Theft,407,53.28434,Yes,Under Review,18521.78,0.9672359791701196,35.96837886889898,37.186766873332765,1000.260000000002,0,0,1,0,0.5328434,Fraudulent,REVIEW,15734.311768760681
CLM042315,CUST013544,POL0691473,38,Male,South,Auto,692.33,57895.48,9572.26,Medical,344,59.086494,No,Approved,5474.6,0.16533691403888523,13.826152268426906,83.62410988979244,48323.22,0,0,1,0,0.59086496,Fraudulent,REVIEW,5655.912987347841
CLM045695,CUST011958,POL0192363,63,Male,West,Auto,1978.93,85077.95,27545.42,Property,422,48.105213,No,Approved,26766.64,0.32376685145798645,13.919350356000464,42.99189460971333,57532.53,0,1,1,0,0.48105213,Genuine,REVIEW,13250.782975435852
CLM003974,CUST000274,POL0420249,51,Female,South,Home,1343.24,97409.94,11469.51,Accident,343,43.36253,No,Approved,7778.68,0.1177447599290175,8.538690033054406,72.5186414937018,85940.43000000001,0,0,1,0,0.4336253,Genuine,REVIEW,4973.4698368611935
CLM048603,CUST016034,POL0738075,21,Female,North,Auto,4946.14,18151.08,18611.72,Accident,666,43.076496,No,Approved,17308.43,1.0253781042229995,3.762877718786771,3.669746509399249,-460.6399999999994,1,0,0,0,0.43076494,Genuine,REVIEW,8017.276511656047
CLM016179,CUST013002,POL0442491,25,Female,South,Auto,1956.07,43038.25,12238.18,Accident,708,42.018623,No,Approved,6610.43,0.28435589272333334,6.2565143374214625,22.002407889288218,30800.07,1,0,0,0,0.42018622,Genuine,REVIEW,5142.3146134555345
CLM037473,CUST008298,POL0854117,41,Female,South,Health,4515.69,88934.99,37652.33,Property,492,53.15448,No,Approved,36307.79,0.4233691373890074,8.338112226481448,19.694662388250748,51282.66,0,0,1,0,0.5315448,Fraudulent,REVIEW,20013.90039157033
CLM033279,CUST001291,POL0771238,55,Male,South,Auto,584.3,90233.84,12409.88,Property,573,43.089043,No,Approved,11168.73,0.13753022147788457,21.23888413486223,154.43066917679275,77823.95999999999,0,0,1,0,0.43089044,Genuine,REVIEW,5347.298665223121
CLM031153,CUST010090,POL0685530,43,Female,North,Life,3282.34,99783.15,39143.09,Property,714,37.015583,No,Approved,35628.57,0.3922815625684296,11.925361175259113,30.400004265249787,60640.06,0,0,0,0,0.37015584,Genuine,REVIEW,14489.043402678071
CLM009637,CUST003868,POL0303575,36,Male,South,Auto,2292.92,29712.89,23817.97,Theft,780,49.337532,No,Approved,17697.03,0.8016039503393982,10.387614918967953,12.958537585262459,5894.919999999998,0,0,0,0,0.49337533,Genuine,REVIEW,11751.198836390078
CLM033158,CUST013762,POL0156667,58,Male,North,Auto,517.37,96533.89,8077.35,Accident,729,38.483883,No,Approved,6801.23,0.08367372329033876,15.612327734503355,186.58578966696948,88456.54,0,0,0,0,0.38483882,Genuine,REVIEW,3108.4778387188912
CLM015704,CUST012688,POL0039499,54,Male,South,Life,3552.92,72293.3,33671.5,Property,724,53.966705,No,Approved,32987.43,0.46576238738582965,9.477134300800468,20.347573263681703,38621.8,0,0,0,0,0.53966707,Fraudulent,REVIEW,18171.399744540453
CLM024733,CUST004039,POL0347591,46,Male,West,Home,1409.77,92684.81,1766.6,Medical,300,58.778805,Yes,Under Review,1211.04,0.019060296935387792,1.2531122097930867,65.74463210310901,90918.20999999999,0,0,1,0,0.58778805,Fraudulent,REVIEW,1038.386361014843
CLM047730,CUST017203,POL0425244,70,Female,East,Life,3375.05,14677.65,20423.14,Accident,594,43.65953,Yes,Under Review,17896.78,1.3914448157572907,6.051211093168989,4.348868905645842,-5745.49,0,1,1,0,0.43659532,Genuine,REVIEW,8916.647358033657
CLM047783,CUST003920,POL0773247,77,Male,East,Home,799.92,50308.17,20272.37,Accident,562,49.894627,No,Rejected,17605.83,0.4029637730809926,25.34299679967997,62.89150165016502,30035.8,0,1,1,0,0.49894628,Fraudulent,REVIEW,10114.823583836256
CLM048467,CUST016249,POL0296403,32,Female,North,Auto,1256.82,12785.83,23534.51,Accident,828,49.72964,No,Approved,12345.84,1.8406712743717066,18.725441988510685,10.17315924316927,-10748.679999999998,0,0,0,0,0.49729642,Fraudulent,REVIEW,11703.627633467018
CLM028460,CUST014604,POL0624354,47,Female,East,Auto,2437.26,79406.78,25531.22,Property,439,44.8462,No,Rejected,19664.15,0.3215244340596609,10.475378088509228,32.58034842404995,53875.56,0,0,1,0,0.44846198,Genuine,REVIEW,11449.78146350801
CLM045440,CUST015628,POL0164404,18,Male,North,Home,654.88,82977.0,5473.11,Accident,478,52.157562,Yes,Under Review,5448.12,0.06595936223290791,8.3574242609333,126.70565599804544,77503.89,1,0,1,0,0.5215756,Fraudulent,REVIEW,2854.6407947283983
CLM009404,CUST005644,POL0729722,41,Male,East,Health,989.75,60934.86,35959.55,Medical,684,44.78145,No,Rejected,24796.76,0.5901310021882384,36.33195251326093,61.56591058348068,24975.309999999998,0,0,0,0,0.4478145,Genuine,REVIEW,16103.207701073588
CLM022428,CUST016372,POL0300782,68,Male,North,Life,2519.72,23818.64,27901.09,Property,504,48.083485,No,Approved,22113.11,1.1713972754111905,11.073091454606068,9.452891591129173,-4082.4500000000007,0,1,1,0,0.48083484,Genuine,REVIEW,13415.816194194555
CLM039966,CUST008845,POL0826714,35,Female,South,Health,514.16,95538.42,25263.74,Medical,466,49.402153,No,Rejected,16901.63,0.26443539677545436,49.135949898864176,185.8145713396608,70274.68,0,0,1,0,0.49402153,Genuine,REVIEW,12480.831612613201
CLM020886,CUST002407,POL0057743,23,Male,East,Health,1285.34,56111.0,45847.28,Accident,489,46.92554,No,Approved,43414.65,0.8170818556076348,35.66937930819861,43.65459722719281,10263.720000000001,1,0,1,0,0.46925542,Genuine,REVIEW,21514.084521553516
CLM009888,CUST012391,POL0484105,67,Male,East,Auto,514.18,97204.49,42468.18,Property,659,47.003902,No,Approved,33245.64,0.4368952504148728,82.5939943210549,189.04759033801395,54736.310000000005,0,1,0,0,0.47003904,Genuine,REVIEW,19961.702551386952
CLM017670,CUST005534,POL0159698,61,Male,South,Life,3006.68,29968.93,8153.08,Medical,661,46.167927,No,Approved,6604.51,0.2720510875763666,2.7116553806856736,9.967449146566977,21815.85,0,1,0,0,0.46167928,Genuine,REVIEW,3764.1081025862695
CLM012095,CUST008338,POL0185657,44,Male,East,Health,1973.78,62532.3,14066.1,Property,770,47.5571,No,Rejected,12049.38,0.22494135031015972,7.126478128261509,31.681494391472203,48466.200000000004,0,0,0,0,0.47557098,Genuine,REVIEW,6689.428915840387
CLM013359,CUST006050,POL0248824,66,Male,East,Home,2743.45,40573.05,43341.56,Accident,433,38.815136,No,Rejected,37827.31,1.0682351955300378,15.79819570249139,14.789061218538704,-2768.5099999999948,0,1,1,0,0.38815138,Genuine,REVIEW,16823.086214376686
CLM015982,CUST010621,POL0439030,34,Female,West,Home,4991.19,74993.89,23660.29,Accident,640,35.653183,No,Approved,23506.82,0.31549623576000657,4.740410603483338,15.025252494896009,51333.6,0,0,0,0,0.35653183,Genuine,REVIEW,8435.646459897458
CLM012993,CUST013833,POL0840100,48,Female,West,Home,2779.94,60772.86,8815.82,Theft,636,51.796265,No,Approved,6669.31,0.14506179238561423,3.1712267171233908,21.861212831931624,51957.04,0,0,0,0,0.51796263,Fraudulent,REVIEW,4566.265353037119
CLM041642,CUST013576,POL0674541,77,Female,North,Health,781.39,6692.37,24235.05,Accident,656,37.30298,No,Approved,22671.9,3.621295594834117,31.015306057154557,8.56469880597397,-17542.68,0,1,0,0,0.3730298,Genuine,REVIEW,9040.395812545716
CLM026630,CUST005326,POL0190546,75,Female,East,Health,3926.74,57831.17,22186.16,Theft,628,45.440643,No,Approved,15378.85,0.38363671355775786,5.650020118469774,14.727527159934196,35645.009999999995,0,1,0,0,0.45440644,Genuine,REVIEW,10081.533988595009
CLM027520,CUST012304,POL0770764,27,Male,North,Health,1941.98,65262.87,19211.82,Property,343,52.300667,No,Approved,12498.16,0.2943759598681455,9.892903119496596,33.6063553692623,46051.05,1,0,1,0,0.5230067,Fraudulent,REVIEW,10047.910149378777
CLM048767,CUST008036,POL0243727,55,Female,East,Auto,4893.32,79428.13,31666.43,Property,625,50.79171,No,Rejected,16258.43,0.3986802912267983,6.471358913784506,16.23195090449838,47761.700000000004,0,0,0,0,0.5079171,Fraudulent,REVIEW,16083.921487751602
CLM014934,CUST015561,POL0111867,73,Male,North,Health,3010.64,8614.75,41411.46,Property,734,47.566105,No,Approved,35776.83,4.807041411532546,13.755035474184892,2.8614347779874048,-32796.71,0,1,0,0,0.47566104,Genuine,REVIEW,19697.81810470104
CLM034797,CUST002856,POL0017533,21,Female,South,Home,4891.12,17976.55,45790.4,Property,476,65.43974,Yes,Under Review,39038.04,2.5472295852096205,9.361945730221299,3.6753442974206316,-27813.850000000002,1,0,1,0,0.6543974,Fraudulent,REVIEW,29965.11998872757
CLM032595,CUST006262,POL0737668,33,Male,North,Home,655.54,47590.64,47147.65,Medical,475,49.684288,No,Approved,30985.46,0.9906916570149089,71.92185068798243,72.59761418067548,442.98999999999796,0,0,1,0,0.4968429,Fraudulent,REVIEW,23424.974728812278
CLM023091,CUST014665,POL0071495,60,Female,West,Health,2842.76,19975.06,43439.01,Accident,524,51.373447,Yes,Under Review,29904.31,2.1746623038929545,15.280575919177137,7.026643121473498,-23463.95,0,1,1,0,0.51373446,Fraudulent,REVIEW,22316.11633994222
CLM015182,CUST018096,POL0322895,26,Female,West,Health,4717.55,17551.59,43922.93,Medical,844,26.081911,No,Approved,37186.02,2.5025043315164037,9.310538309079925,3.7204883891002742,-26371.34,1,0,0,0,0.2608191,Genuine,APPROVE,11455.93939234048
CLM022941,CUST011833,POL0873142,75,Female,North,Auto,2096.04,6971.29,21045.11,Accident,418,33.5797,No,Approved,12162.32,3.0188257840371007,10.040414305070515,3.325933665388065,-14073.82,0,1,1,0,0.335797,Genuine,REVIEW,7066.885052102209
CLM041147,CUST002660,POL0698153,42,Male,North,Home,2675.01,6932.56,24455.89,Medical,774,46.783794,No,Approved,24011.68,3.527685299514176,9.142354608020156,2.5916015267232644,-17523.329999999998,0,0,0,0,0.46783793,Genuine,REVIEW,11441.392947198152
CLM042600,CUST015091,POL0260054,77,Female,South,Home,3507.67,5771.62,17495.06,Accident,447,41.91094,No,Approved,9956.09,3.031221736704773,4.987658474143805,1.6454284468037186,-11723.440000000002,0,1,1,0,0.41910937,Genuine,REVIEW,7332.343649674059
CLM035710,CUST007789,POL0115172,55,Male,North,Home,987.25,12934.7,29960.8,Theft,519,51.05186,Yes,Under Review,20399.64,2.316311936109844,30.34773360344391,13.101747277791846,-17026.1,0,0,1,0,0.5105186,Fraudulent,REVIEW,15295.545984792709
CLM011982,CUST006291,POL0629071,22,Female,East,Home,4591.86,93982.18,49726.39,Accident,374,35.1139,No,Approved,33472.25,0.5291044536315289,10.82924784292204,20.46712661100295,44255.78999999999,1,0,1,0,0.35113898,Genuine,REVIEW,17460.873823729456
CLM014129,CUST019240,POL0085610,55,Male,East,Life,1182.89,59205.21,9097.23,Accident,530,48.74742,No,Approved,8909.95,0.15365590291800332,7.6906812975001895,50.05132345357556,50107.979999999996,0,0,1,0,0.4874742,Genuine,REVIEW,4434.664944756031
CLM006711,CUST009289,POL0663637,60,Female,North,Auto,2560.75,38178.11,43092.46,Accident,849,46.813316,No,Approved,38429.94,1.12872166799247,16.828062091184222,14.908956360441277,-4914.3499999999985,0,1,0,0,0.46813315,Genuine,REVIEW,20173.009107033013
CLM029422,CUST017393,POL0753854,29,Female,West,Health,1098.9,22811.47,44819.1,Theft,416,35.081665,No,Approved,34807.98,1.9647615870437107,40.78542178542178,20.758458458458456,-22007.629999999997,1,0,1,0,0.35081664,Genuine,REVIEW,15723.285947808623
CLM016525,CUST017371,POL0638434,29,Female,East,Auto,1275.38,18004.45,30286.16,Accident,740,57.375465,Yes,Under Review,19847.1,1.682148579934405,23.746773510639965,14.11692985619972,-12281.71,1,0,0,0,0.57375467,Fraudulent,REVIEW,17376.825682935716
CLM049240,CUST014534,POL0422422,61,Female,West,Home,1405.04,73419.04,49206.69,Accident,615,57.460476,Yes,Under Review,44181.87,0.670217017275083,35.02155810510733,52.254056824005005,24212.34999999999,0,1,0,0,0.57460475,Fraudulent,REVIEW,28274.397790009978
CLM046828,CUST019591,POL0629693,31,Male,South,Life,4798.76,47519.98,46172.23,Medical,809,43.972706,No,Approved,39319.82,0.9716382456389923,9.621700189215547,9.902553993114887,1347.75,0,0,0,0,0.43972707,Genuine,REVIEW,20303.179318492414
CLM010496,CUST010792,POL0266091,19,Male,South,Health,3220.37,99082.85,22554.58,Medical,672,40.740955,No,Approved,22357.81,0.22763354102147848,7.003723174666266,30.767536028468783,76528.27,1,0,0,0,0.40740955,Genuine,REVIEW,9188.951260259153
CLM045565,CUST018189,POL0584925,71,Male,North,Auto,1780.96,52881.95,10502.88,Accident,686,37.825836,No,Approved,9288.03,0.19860992266737515,5.897313808283172,29.692946500763632,42379.07,0,1,0,0,0.37825835,Genuine,REVIEW,3972.802032909393
CLM012277,CUST002701,POL0516207,23,Female,East,Home,3201.89,95733.48,28383.22,Accident,483,45.814213,No,Approved,23219.68,0.2964816488442706,8.864520642495528,29.8990533716024,67350.26,1,0,1,0,0.45814213,Genuine,REVIEW,13003.548911535145
CLM005587,CUST010523,POL0284062,63,Female,East,Life,1674.08,28052.22,25894.52,Accident,808,56.15318,Yes,Under Review,19077.42,0.9230827364108795,15.467910733059353,16.75679776354774,2157.7000000000007,0,1,0,0,0.5615318,Fraudulent,REVIEW,14540.595963525773
CLM002918,CUST012050,POL0018671,19,Male,East,Auto,1139.05,27558.98,18906.1,Property,727,43.777985,No,Approved,16173.8,0.6860232127604141,16.598130020631228,24.194706114744744,8652.880000000001,1,0,0,0,0.43777984,Genuine,REVIEW,8276.70950500369
CLM020180,CUST018183,POL0773794,35,Male,West,Life,1335.83,15318.88,920.23,Property,791,39.355267,No,Approved,877.92,0.06007162403517751,0.6888825673925575,11.467686756548364,14398.65,0,0,0,0,0.39355266,Genuine,REVIEW,362.1589651787281
CLM039386,CUST015212,POL0401424,71,Male,South,Health,1475.33,74153.56,35923.62,Theft,466,51.334614,No,Rejected,29091.45,0.4844490271269512,24.349548914480152,50.26235486297981,38229.939999999995,0,1,1,0,0.51334614,Fraudulent,REVIEW,18441.25150434852
CLM003948,CUST016646,POL0181566,39,Female,South,Health,328.44,13909.22,47880.97,Medical,587,33.787895,No,Approved,25513.65,3.4423907307526953,145.7830045061503,42.34934843502618,-33971.75,0,0,1,0,0.33787894,Genuine,REVIEW,16177.971508977413
